ondevice,title,authors,#kobo_percent_read,#kobo_last_read,timestamp,languages,series,size,rating,tags,publisher,pubdate,last_modified,id,formats,path,#kobo_reading_location,#kobo_time_spent_reading,#kobo_rest_of_book_estimate
,The Choice,Edith Eva Eger,,,2022-01-29 12:33:50+00:00,eng,,1959165,,,Scribner,0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,389,EPUB | MOBI,Edith Eva Eger/The Choice (389),,,
,"Thinking, Fast and Slow",Daniel Kahneman,,,2022-01-29 12:41:29+00:00,eng,,1195720,,,Macmillan,2011-10-24 22:00:00+00:00,2026-04-15 15:33:05+00:00,390,KEPUB | MOBI,"Daniel Kahneman/Thinking, Fast and Slow (390)",,,
,Being Mortal: Medicine and What Matters in the End,"Gawande, Atul",,,2022-01-29 12:41:30+00:00,eng,,455745,,,Henry Holt and Co.,2014-10-07 05:00:00+00:00,2026-04-15 15:22:58+00:00,391,EPUB | MOBI,"Gawande, Atul/Being Mortal_ Medicine and What Mat (391)",,,
,The Power of Now,"Tolle, Eckhart",,,2022-01-29 12:41:30+00:00,eng,,274832,,,,2010-06-03 04:00:00+00:00,2026-04-15 15:22:58+00:00,392,EPUB | MOBI,"Tolle, Eckhart/The Power of Now (392)",,,
,How to Fail at Almost Everything and Still Win Big: Kind of the Story of My Life,Scott Adams,100,2022-08-13 00:00:00+00:00,2022-01-29 12:41:30+00:00,eng,,1808256,10,,Penguin Books Ltd,0101-01-01 00:00:00+00:00,2026-04-15 15:22:58+00:00,393,EPUB | MOBI,Scott Adams/How to Fail at Almost Everything an (393),,,
,You are a Badass,Jen Sincero,,,2022-01-29 12:41:31+00:00,eng,,438639,,Self-Help | Nonfiction,Running Press,2014-10-12 21:00:00+00:00,2026-04-15 15:22:58+00:00,394,EPUB | MOBI,Jen Sincero/You are a Badass (394),,,
,48 Laws of Power,"Greene, Robert",,,2022-01-29 12:41:32+00:00,eng,,852389,,,,2010-06-03 04:00:00+00:00,2026-04-15 15:22:58+00:00,395,EPUB | MOBI,"Greene, Robert/48 Laws of Power (395)",,,
,Autobiography of a Yogi (Complete Edition),"Yogananda, Paramahansa",,,2022-01-29 12:41:32+00:00,eng,,7022879,,,Yogoda Satsanga Society of India,2016-04-06 22:00:00+00:00,2026-04-15 15:22:58+00:00,396,EPUB | MOBI,"Yogananda, Paramahansa/Autobiography of a Yogi (Complete E (396)",,,
,"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,100,2022-09-28 00:00:00+00:00,2022-01-29 12:41:33+00:00,eng,,2453549,10,Business & Economics | Personal Finance | General | Investing,Harriman House Limited,2020-09-07 18:30:00+00:00,2026-04-15 15:22:58+00:00,397,EPUB | MOBI,Morgan Housel/The Psychology of Money_ Timeless L (397),,,
,Meditations,Marcus Aurelius,,,2022-01-29 12:41:33+00:00,eng,,306847,,,Modern Library,2002-05-13 23:00:00+00:00,2026-04-15 15:22:58+00:00,398,EPUB | MOBI,Marcus Aurelius/Meditations (398),,,
